,CIF,Bandgap,CO2/N2_selectivity,CO2/N2_selectivity,CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],H2 uptake [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],working_capacity_vacuum_swing [mmol/g],working_capacity_vacuum_swing [mmol/g]
,,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation
Model,,,,,,,,,,,,,,,,,,,
MOFDIFF_optimized_CO2-uptake-P0.15bar-T298K,MOFDIFF_optimized_CO2-uptake-P0.15bar-T298K_15_100_seed_123_sample_73,-1.50390625,26.234375,24.84913792563905,0.2218017578125,1.4241879392,1.7607421875,4.4686090202,-1.1064453125,0.291015625,0.2819354671,5.9140625,8.60884692,5.96484375,7.927123319999999,3.681640625,4.28000244,1.5166015625,3.0444210809999994
MOFReinforce_c02,MOFReinforce_c02_tfz-d+N131+7,0.284423828125,33.9375,19.150755772816726,0.1898193359375,1.0177349254,1.2392578125,3.9886413256,0.468017578125,0.2548828125,0.2535907557,6.9375,7.9012922,6.84375,8.67678506,4.34375,4.1038929,1.048828125,2.9709064002
MOFDIFF_optimized_working-capacity-vacuum-swing,MOFDIFF_optimized_working-capacity-vacuum-swing_15_100_seed_123_sample_88,-0.54248046875,48.4375,13.173523080850693,0.28125,0.3954736919,2.119140625,2.8192655908,-1.0185546875,0.273193359375,0.272553894,6.78125,7.756525119999999,7.2421875,7.764940309999999,3.87109375,4.3295351900000005,2.029296875,2.4417485989000003
MOFDIFF_optimized_heat-adsorption-CO2-P0.15bar-T298K,MOFDIFF_optimized_heat-adsorption-CO2-P0.15bar-T298K_15_100_seed_123_sample_85,-0.73486328125,63.34375,47.333198852907685,0.265380859375,1.023498976,2.029296875,3.0863376736,-1.0126953125,0.1851806640625,0.1902626091,7.82421875,9.2192577,8.2578125,9.12444401,4.47265625,4.59051124,1.626953125,2.4153832924
MOFDIFF_optimized_heat-adsorption-N2-binary-P0.85bar-T298K,MOFDIFF_optimized_heat-adsorption-N2-binary-P0.85bar-T298K_15_100_seed_123_sample_53,-0.1409912109375,49.84375,31.642824802300016,0.2467041015625,0.5333156945,2.181640625,2.4891912712,-3.029296875,0.1534423828125,0.1554130261,8.2265625,9.23133676,8.640625,9.47673001,4.9375,5.39290355,1.662109375,2.1728208617
MOFDIFF_optimized_CO2-uptake-P0.10bar-T363K,MOFDIFF_optimized_CO2-uptake-P0.10bar-T363K_15_100_seed_123_sample_73,-0.42822265625,41.59375,11.090697674824472,0.30517578125,0.4103760343,1.990234375,2.5426479156,-0.99072265625,0.31201171875,0.3450456587,7.08203125,7.785597079999999,7.1328125,8.39308728,4.14453125,5.081223649999999,1.8857421875,2.1322718813
MOFDIFF_optimized_heat-adsorption-CO2-P0.10bar-T363K,MOFDIFF_optimized_heat-adsorption-CO2-P0.10bar-T363K_15_100_seed_123_sample_98,-1.39453125,39.09375,23.14768025119301,0.14306640625,0.4366962296,1.275390625,2.5239650303,-2.14453125,0.1590576171875,0.1090374933,5.94140625,8.23164039,6.7265625,7.310632379999999,3.4921875,3.60805633,1.05859375,2.0872688007
MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K_15_100_seed_123_sample_93,-0.5712890625,29.546875,14.540591969402495,0.33154296875,0.5145351615,1.8427734375,2.0749157233,0.6767578125,0.303955078125,0.4108820844,8.6171875,8.80732208,8.6328125,8.38690913,5.58203125,5.17757889,1.4794921875,1.8194253079
MOFFusion_h2,MOFFusion_h2_zfu+N651+E95,0.197509765625,11.0859375,8.01454512459785,0.11712646484375,0.1893728917,0.77587890625,1.4031435183,0.869140625,0.339599609375,0.4322890494,5.25,7.708921099999999,5.234375,7.32826819,2.998046875,3.85381764,0.76904296875,1.2137706266
MOFFusion_uncond,MOFFusion_uncond_zfu+N254+E69,0.3583984375,9.6328125,6.662862159300386,0.1563720703125,0.0943274917,0.90478515625,0.7777274501,1.1552734375,0.3193359375,0.4160100671,4.88671875,6.1949469200000005,5.0625,6.28152706,2.677734375,2.68193611,0.67529296875,0.6874417888
MOFFusion_text,MOFFusion_text_lta+N691+E66,0.48388671875,4.1015625,4.488823934682844,0.079345703125,0.6503390304,0.258056640625,0.9647048679,-0.5810546875,0.300048828125,0.3958181522,3.041015625,5.636086049999999,3.45703125,4038.27963011,1.759765625,289.92543406999994,0.127197265625,0.6032192550000001
MOFFusion_pore,MOFFusion_pore_zfs+N242+E139,,11.25,3.793625242260656,0.09454345703125,0.0914845174,0.89501953125,0.5997758449,,0.270263671875,0.3359791493,4.7890625,6.66321484,5.02734375,5.88315469,3.029296875,2.86143945,0.64794921875,0.5322347523000001
