,CIF,Bandgap,CO2/N2_selectivity,CO2/N2_selectivity,CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],H2 uptake [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],working_capacity_vacuum_swing [mmol/g],working_capacity_vacuum_swing [mmol/g],Model
,,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,
120,MOFDIFF_optimized_CO2-uptake-P0.15bar-T298K_15_100_seed_123_sample_69,-1.50390625,16.125,24.84913792563905,0.1444091796875,1.4241879392,1.08203125,4.4686090202,-2.162109375,0.20068359375,0.1798295391,5.578125,8.60884692,5.87109375,7.927123319999999,3.38671875,4.28000244,0.69921875,3.0444210809999994,MOFDIFF_optimized_CO2-uptake-P0.15bar-T298K
35,MOFReinforce_c02_soc+N250+76,-1.49609375,17.65625,17.346862715625274,0.147705078125,1.0177349254,1.0400390625,3.9886413256,0.10198974609375,0.236328125,0.2299344493,5.62890625,7.15046175,5.94140625,7.392296289999999,3.19140625,3.96337046,1.048828125,2.9709064002,MOFReinforce_c02
384,MOFDIFF_optimized_working-capacity-vacuum-swing_15_100_seed_123_sample_3,-1.4716796875,48.4375,11.945365543612397,0.19384765625,0.3775169919,1.640625,2.8192655908,-2.201171875,0.2373046875,0.2360133376,6.6484375,7.756525119999999,7.078125,7.71320398,3.798828125,4.3295351900000005,1.51171875,2.4417485989000003,MOFDIFF_optimized_working-capacity-vacuum-swing
281,MOFDIFF_optimized_heat-adsorption-CO2-P0.15bar-T298K_15_100_seed_123_sample_5,-1.41796875,20.59375,23.598165672279748,0.074462890625,0.6709543812,0.460693359375,3.0863376736,-1.0126953125,0.179931640625,0.1307871856,5.25390625,8.83576786,5.4375,7.260461499999999,2.892578125,2.99234453,0.473876953125,2.4153832924,MOFDIFF_optimized_heat-adsorption-CO2-P0.15bar-T298K
385,MOFDIFF_optimized_working-capacity-vacuum-swing_15_100_seed_123_sample_22,-1.357421875,44.71875,13.173523080850693,0.28125,0.2867257497,2.119140625,2.6404320688,-1.0185546875,0.2452392578125,0.20043477,6.78125,7.18807318,7.2421875,7.33534259,3.87109375,3.65843992,2.029296875,2.3537063191,MOFDIFF_optimized_working-capacity-vacuum-swing
335,MOFDIFF_optimized_heat-adsorption-N2-binary-P0.85bar-T298K_15_100_seed_123_sample_22,-0.2783203125,33.0,31.642824802300016,0.173583984375,0.3163704095,0.916015625,2.4891912712,-5.22265625,0.115234375,0.0786652673,8.2265625,9.23133676,8.015625,9.47673001,4.9375,5.39290355,0.63916015625,2.1728208617,MOFDIFF_optimized_heat-adsorption-N2-binary-P0.85bar-T298K
68,MOFDIFF_optimized_CO2-uptake-P0.10bar-T363K_15_100_seed_123_sample_58,-0.5205078125,35.78125,10.915144131811449,0.215576171875,0.4103760343,1.833984375,2.5426479156,-2.60546875,0.2239990234375,0.2329468017,7.08203125,7.785597079999999,7.1328125,8.39308728,4.14453125,5.081223649999999,1.7021484375,2.1322718813,MOFDIFF_optimized_CO2-uptake-P0.10bar-T363K
236,MOFDIFF_optimized_heat-adsorption-CO2-P0.10bar-T363K_15_100_seed_123_sample_98,-1.39453125,39.09375,23.14768025119301,0.14306640625,0.4366962296,1.275390625,2.5239650303,-2.14453125,0.1590576171875,0.1090374933,5.94140625,8.23164039,6.7265625,7.310632379999999,3.4921875,3.60805633,1.05859375,2.0872688007,MOFDIFF_optimized_heat-adsorption-CO2-P0.10bar-T363K
69,MOFDIFF_optimized_CO2-uptake-P0.10bar-T363K_15_100_seed_123_sample_2,-0.42822265625,41.59375,6.797211539007258,0.30517578125,0.3188354596,1.990234375,2.3453483328,-0.99072265625,0.311279296875,0.3450456587,6.6015625,7.095166709999999,6.68359375,7.09993715,3.986328125,4.064374249999999,1.8857421875,2.0265128732,MOFDIFF_optimized_CO2-uptake-P0.10bar-T363K
