,CIF,Bandgap,CO2/N2_selectivity,CO2/N2_selectivity,CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],H2 uptake [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],working_capacity_vacuum_swing [mmol/g],working_capacity_vacuum_swing [mmol/g]
,,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation
Model,,,,,,,,,,,,,,,,,,,
MOFReinforce_selectivity,MOFReinforce_selectivity_sxb+N548+20,1.080078125,12.4765625,,0.109130859375,,0.496826171875,,1.2607421875,0.26171875,,4.98828125,,4.57421875,,2.576171875,,0.421875,
MOFFusion_uncond,MOFFusion_uncond_zfu+N254+E69,0.3583984375,9.6328125,2.2437823399605192,0.1563720703125,0.0943274917,0.90478515625,0.513624826,1.1552734375,0.3193359375,0.4160100671,4.88671875,6.17585082,5.0625,5.11900955,2.677734375,2.6543101,0.67529296875,0.4192973343
MOFDIFF_optimized_CO2-N2-selectivity,MOFDIFF_optimized_CO2-N2-selectivity_15_100_seed_123_sample_27,-0.9296875,26.765625,1.0589424046001503,0.264892578125,0.0593669961,1.4609375,0.3129083583,1.103515625,0.299560546875,0.2954913855,5.625,3.89418952,5.95703125,4.36223278,3.056640625,2.17265818,1.046875,0.2535413622
MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K_15_100_seed_123_sample_94,-0.66943359375,13.40625,2.455163244317905,0.15576171875,0.1288624069,1.3193359375,0.9703508563,1.07421875,0.3271484375,0.3952286507,4.94140625,5.09143134,5.33203125,5.57989715,3.025390625,3.1424532599999995,0.91796875,0.8414884493999999
MOFDIFF_optimized_CO2-uptake-P0.10bar-T363K,MOFDIFF_optimized_CO2-uptake-P0.10bar-T363K_15_100_seed_123_sample_8,-0.51123046875,16.234375,1.9968401093803327,0.125732421875,0.0815147135,0.8740234375,0.5328813579,1.017578125,0.2783203125,0.2668623068,5.0625,4.99398148,5.32421875,5.29328357,2.7109375,2.8439566,0.58935546875,0.4513666444
MOFDIFF_optimized_heat-adsorption-CO2-P0.10bar-T363K,MOFDIFF_optimized_heat-adsorption-CO2-P0.10bar-T363K_15_100_seed_123_sample_19,-0.80029296875,5.0859375,1.0867832631759078,0.11016845703125,0.0497644782,0.33740234375,0.2804751128,1.00390625,0.28125,0.2580782409,3.53515625,3.52205218,3.69921875,4.36209894,2.0390625,2.00058057,0.1771240234375,0.2307106346
MOFDIFF_optimized_working-capacity-vacuum-swing,MOFDIFF_optimized_working-capacity-vacuum-swing_15_100_seed_123_sample_8,-0.08428955078125,14.6015625,2.3253115597697307,0.13232421875,0.102641122,0.91357421875,0.7655287543,0.9482421875,0.29931640625,0.3485108867,4.94140625,5.09169185,5.5078125,5.54169061,2.876953125,3.02394989,0.70458984375,0.6628876323
MOFDIFF_optimized_CO2-uptake-P0.15bar-T298K,MOFDIFF_optimized_CO2-uptake-P0.15bar-T298K_15_100_seed_123_sample_65,-1.0849609375,8.4375,1.522148916176112,0.130126953125,0.0682625959,0.55908203125,0.4504355151,0.91455078125,0.292236328125,0.2959207935,4.71484375,4.4696919600000005,4.34375,4.991598649999999,2.61328125,2.58326257,0.4326171875,0.3821729192
MOFFusion_h2,MOFFusion_h2_zfu+N651+E95,0.184814453125,8.7421875,4.897046903288737,0.11712646484375,0.0810145729,0.77587890625,0.6844719741,0.9140625,0.225830078125,0.2137695644,5.25,6.44270627,5.02734375,6.434840779999999,2.8046875,2.68451253,0.76904296875,0.6034574012
MOFDIFF_optimized_heat-adsorption-N2-binary-P0.85bar-T298K,MOFDIFF_optimized_heat-adsorption-N2-binary-P0.85bar-T298K_15_100_seed_123_sample_19,-0.59912109375,5.875,,0.06512451171875,,0.250732421875,,0.88037109375,0.239501953125,,3.779296875,,4.00390625,,2.34375,,0.1849365234375,
MOFReinforce_c02,MOFReinforce_c02_tfz-d+N131+81,0.1260986328125,17.65625,17.346862715625274,0.147705078125,1.0177349254,1.0400390625,3.9886413256,0.69287109375,0.2548828125,0.2299344493,5.62890625,7.15046175,5.94140625,7.392296289999999,3.19140625,3.96337046,1.048828125,2.9709064002
MOFFusion_text,MOFFusion_text_lta+N671+E63,1.0224609375,4.1640625,1.1323415976018922,0.07879638671875,0.0484152655,0.2734375,0.2696559722,-0.5498046875,0.290771484375,0.2381401273,3.041015625,3.84752716,3.45703125,5.02832578,1.759765625,1.81268355,0.127197265625,0.2212407066999999
