,CIF,Bandgap,CO2/N2_selectivity,CO2/N2_selectivity,CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],H2 uptake [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],working_capacity_vacuum_swing [mmol/g],working_capacity_vacuum_swing [mmol/g],Model
,,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,
41,MOFReinforce_selectivity_sit+N536+19,-1.0478515625,6.91796875,,0.09417724609375,,0.26171875,,1.2607421875,0.2257080078125,,3.69921875,,4.07421875,,2.244140625,,0.1983642578125,,MOFReinforce_selectivity
39,MOFFusion_uncond_snw+N92+E16,0.3583984375,6.5625,2.2437823399605192,0.07867431640625,0.058360226,0.29052734375,0.4512552995,1.1552734375,0.205078125,0.2011136693,4.078125,4.68576708,3.990234375,5.11900955,2.3125,2.58645561,0.192138671875,0.3928950734999999,MOFFusion_uncond
17,MOFReinforce_selectivity_gra+N300+32,-0.148193359375,5.203125,,0.06689453125,,0.275634765625,,1.1240234375,0.2452392578125,,3.400390625,,3.552734375,,2.015625,,0.1441650390625,,MOFReinforce_selectivity
36,MOFDIFF_optimized_CO2-N2-selectivity_15_100_seed_123_sample_19,-0.9296875,5.41796875,1.0589424046001503,0.1036376953125,0.0593669961,0.40283203125,0.3129083583,1.103515625,0.299560546875,0.2954913855,3.814453125,3.89418952,4.31640625,4.36223278,2.177734375,2.17265818,0.2763671875,0.2535413622,MOFDIFF_optimized_CO2-N2-selectivity
18,MOFReinforce_selectivity_hms+N300+28,0.62890625,7.96484375,,0.0904541015625,,0.47509765625,,1.0791015625,0.230224609375,,4.35546875,,4.5390625,,2.576171875,,0.421875,,MOFReinforce_selectivity
217,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K_15_100_seed_123_sample_38,-1.193359375,5.27734375,0.8458794149866158,0.1080322265625,0.0495066862,0.369384765625,0.24053351,1.07421875,0.3271484375,0.284359101,3.669921875,3.36275868,3.984375,3.8818547299999993,2.240234375,1.97017499,0.259765625,0.1910268238,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K
181,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K_15_100_seed_123_sample_63,-0.66943359375,13.40625,2.455163244317905,0.15576171875,0.1288624069,1.3193359375,0.9703508563,1.06640625,0.323974609375,0.3952286507,4.94140625,5.09143134,5.33203125,5.40710015,3.025390625,3.1424532599999995,0.91796875,0.8414884493999999,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K
40,MOFReinforce_selectivity_sit+N268+4,-1.6005859375,5.3515625,,0.0728759765625,,0.2269287109375,,1.033203125,0.2105712890625,,3.62890625,,3.919921875,,2.298828125,,0.1845703125,,MOFReinforce_selectivity
95,MOFDIFF_optimized_CO2-uptake-P0.10bar-T363K_15_100_seed_123_sample_44,-0.51123046875,10.015625,1.1452725247902584,0.1112060546875,0.0556612823,0.462646484375,0.2981730292,1.017578125,0.2783203125,0.260351159,4.62890625,4.02174621,4.71484375,4.411657979999999,2.53125,2.49195979,0.341552734375,0.2425117469,MOFDIFF_optimized_CO2-uptake-P0.10bar-T363K
254,MOFDIFF_optimized_heat-adsorption-CO2-P0.10bar-T363K_15_100_seed_123_sample_19,-0.80029296875,5.0859375,1.0867832631759078,0.11016845703125,0.0497644782,0.33740234375,0.2804751128,1.00390625,0.28125,0.2580782409,3.53515625,3.52205218,3.69921875,4.36209894,2.0390625,2.00058057,0.1771240234375,0.2307106346,MOFDIFF_optimized_heat-adsorption-CO2-P0.10bar-T363K
220,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K_15_100_seed_123_sample_94,-0.88818359375,6.54296875,0.8503549973330782,0.10516357421875,0.0534494772,0.386474609375,0.2357530767,0.98681640625,0.284912109375,0.2772407729,3.869140625,3.70551336,4.3125,4.1488966,2.416015625,2.36374107,0.280517578125,0.1823035995,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K
216,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K_15_100_seed_123_sample_50,-1.1337890625,8.3125,1.201730239596511,0.11627197265625,0.0546942498,0.393310546875,0.3101032046,0.96923828125,0.295654296875,0.2580472675,3.6796875,3.81743706,4.203125,4.515950409999999,2.287109375,2.25271601,0.284423828125,0.2554089548,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K
49,MOFFusion_uncond_umc+N112+E216,-1.3232421875,9.6328125,1.2346451843833277,0.1563720703125,0.0943274917,0.90478515625,0.513624826,0.96484375,0.3193359375,0.4160100671,4.88671875,4.232140299999999,5.0625,4.39237068,2.677734375,2.6543101,0.67529296875,0.4192973343,MOFFusion_uncond
